id,name
37451,Sigma Cinematografica Roma
3953,Island
10437,Lisa-Film
19775,Derby Cinematografica
6078,Z Films Inc.
558,Lisberger/Kushner
932,Mirage Enterprises
2154,Punch Productions
4267,Delphi Films
10214,Embassy International Pictures
4748,Oscilloscope Laboratories
62784,Yes Ma'am Productions
429,DC Comics
29,Topcraft
11487,Sandcastle 5 Productions
2408,Dussault
6849,Société Française de Production (SFP)
36079,France 3 (FR3)
77413,Santa Fe Productions (I)
2124,Melvin Simon Productions
10313,Astral Bellevue Pathé
56519,Red Stripe
51903,Cantharus Productions
32843,Acorn Pictures
469,Hemdale Film Corporation
16599,Yellowbeard Associates
2354,Tesauro
17955,El Pico S.A.
38918,Laguna Productions
541,Famous Players Ltd
542,Guardian Trust Company
543,Filmplan International II
9255,Toei Company
10757,Christmas Tree Films
651,Breathless Associates
652,Miko Productions
29248,Ópalo Films
4904,Alan Landsburg Productions
79415,MCA  Theatricals
356,TF1 Films Productions
885,Téléma Productions
1444,Cannon Group
21712,Cannon Italia Srl
8791,Sherwood Productions
181,Channel Four Films
626,Independent Productions
3906,American Playhouse
12016,Celandine Films
12017,The Monty Python Partnership
8845,Ladbroke
7585,Delphi II Productions
8805,Industrial Light & Magic (ILM)
5419,Edgewood Productions
5093,Cinema Group
6562,Planet Productions
12591,Angeles Entertainment Group
12592,Inverness Productions
52197,Gatlin
76359,Water
76360,Purple Films
559,TriStar Pictures
6254,"Jim Henson Company, The"
2370,Merchant Ivory Productions
81142,Bachelor Party Productions
81143,Aspect Ratio Film
81144,Twin Continental
18068,Adams Apple Film Company
23461,Angel Venture
1212,Empire Pictures
6202,# Lexyn Productions
6203,Lexyn Productions
22040,UAA Films
22041,Western Film Productions
371,Cecchi Gori Group Tiger Cinematografica
3100,Eastern Counties Newspapers Ltd.
1280,Pacific Western
4764,Cinema 84
7745,Euro Film Funding
2596,Jerry Weintraub Productions
4110,Cannon Films
6179,Thorn EMI Screen Entertainment
6752,Home Box Office
3566,Spinal Tap Prod.
299,Instituto Mexicano de Cinematografía
6639,Televisión Española (TVE)
53255,Ganesh Pictures
3893,JF Productions
2353,Kaktus Producciones Cinematográficas
47565,Black Rhino Productions
30,Eddie Murphy Productions
556,Sherwood
1256,Producers Sales Organization
33772,Bavaria Studios
1531,Smart Egg Pictures
76460,St. Michael Finance Limited
76461,Artistry Limited
76462,Investors In Industry PLC
76463,Robert Fleming Leasing Limited
16274,Thomas Coleman and Michael Rosenblatt Productions
16275,Film Development Fund
18947,Atlantic Releasing Corporation
92340,Caldix
9195,Touchstone Pictures
11273,Circle Films
13949,River Road Productions
13950,Foxton Entertainment
10201,Interscope Communications
79025,Zacharias-Buhai Productions
11463,Edge City
36229,Wim Wenders Stiftung
1183,Impala
6140,Riverside Pictures
