id,name,gender
12011,William Castle,2
57522,Robb White,0
10003,Karl Tunberg,2
11626,Gore Vidal,2
52217,Lawrence Edward Watkin,0
39743,Henry Levin,2
95082,Leo Gordon,2
103467,William J. Hole Jr.,2
78858,Lou Rusoff,2
73150,Paul Wendkos,2
66751,Gabrielle Upton,0
3634,Tennessee Williams,2
84940,Crane Wilbur,2
35216,Michel Boisrond,2
553897,Annette Wademant,0
11195,Gérard Oury,2
210193,Jean-Charles Tacchella,0
1650,François Truffaut,0
1652,Marcel Moussy,0
937722,Margot Benacerraf ,0
46712,Douglas Sirk,2
114562,Ray Kellogg,2
98248,Jay Simms,2
32375,Mario Monicelli,0
5811,Agenore Incrocci,2
1342813,Carlo Salsa,0
5812,Furio Scarpelli,2
46610,Robert Anderson,2
14501,Peter Ustinov,2
3147,I. A. L. Diamond,2
1272775,Simone Drieu,0
25826,Mario Bava,2
15132,Mario Serandrei,0
68425,Leo Marks,2
5678,Brunello Rondi,0
53657,Pasquale Festa Campanile,2
31604,Massimo Franciosa,0
32048,Enrico Medioli,0
7300,Joseph Stefano,2
239551,Nobuo Nakagawa,2
89133,Ichirô Miyagawa,0
14520,John Sturges,2
14521,William Roberts,2
6835,Walter Bernstein,2
223765,Jerome Lawrence,0
223766,Robert E. Lee,0
70363,Ulla Isaksson,0
107331,John Llewellyn Moxey,0
30698,George Baxt,2
3776,Jean-Luc Godard,2
76380,Robert Asher,2
1053408,Peter Blackmore,0
994214,Peter Coke,0
43793,Michael Pertwee,2
15389,Louis Malle,2
25950,Jean-Paul Rappeneau,2
37302,Georges Franju,2
1019435,Pierre Gascar,0
114433,Fritz Böttger,0
114435,Eldon Howard,0
114436,Albert G. Miller,0
18669,J. Lee Thompson,0
76882,Cy Endfield,0
76884,John Prebble,2
103382,Daniel B. Ullman,0
92720,Ben Barzman,0
3376,Hal Kanter,0
15189,Michelangelo Antonioni,2
15191,Tonino Guerra,0
14875,Robert Rossen,2
14876,Sidney Carroll,0
14877,Walter Tevis,2
16028,William Marshall,2
98825,William Telaak,0
98826,Fred De Gorter,0
36208,Arthur Miller,2
18854,Martin Ritt,2
30508,Jack Sher,2
932378,Irene Kamp,0
18868,Jerome Robbins,2
57314,Wolfgang Reitherman,2
57316,Bill Peed,0
32765,Tony Richardson,2
405142,Shelagh Delaney,0
29715,David Swift,0
45091,Coleman Francis,2
40549,Daniel Petrie,2
103942,Lorraine Hansberry,0
